customer_id,first_name,last_name,email,phone_number,city,age,registration_date
1,kagiso,Mokoena, kagiso.mokoena@gmail.com ,27650535682,Johannesburg,50,19/01/2025
2,Naledi,NKOSI,naledi.nkosi93icloud.com,+27631734710,Mbombela,21,2019-10-10
3,AYANDA,pillay,ayanda.pillay554gmail.com,0697026737,POLOKWANE,11,"May 07, 2025"
4,Nomsa,KHUMALO, nomsa.khumalo@outlook.com ,27794123051,Pretoria,12,2023-04-13
5,MPHO,Van Der Merwe, mpho.van der merwe@outlook.com ,+27840966023,Gqeberha,,24/04/2024
6,Naledi,dlamini,naledi.dlamini783@outlook.com,,CAPE TOWN,,"Sep 13, 2020"
7,Tshepo,NKOSI,tshepo.nkosi749@outlook.com,27807120201,Johannesburg,47,2019-03-02
8,Sibusiso,dlamini,sibusiso.dlamini787outlook.com,,east london,,"Jul 06, 2021"
9,AYANDA,Mokoena, ayanda.mokoena@outlook.com ,0792613800,durban,23,"Jun 01, 2023"
10,Nomsa,dlamini, nomsa.dlamini@yahoo.com ,0751360407,Mbombela,15,01/09/2019
11,lerato,mabaso,lerato.mabaso468@icloud.com,+27813712004,east london,58,2023-11-18
12,Nomsa,KHUMALO,nomsa.khumalo113outlook.com,0654964628,Gqeberha,15,2025-09-24
13,Bongani,naidoo, bongani.naidoo@yahoo.com ,,CAPE TOWN,,18/08/2020
14,AYANDA,NKOSI,ayanda.nkosi105outlook.com,+27742140275,Pretoria,51,"Apr 12, 2018"
15,REFILWE,dlamini,refilwe.dlamini@,27878312195,durban,13,"Dec 11, 2019"
16,kagiso,PRETORIUS,kagiso.pretorius628yahoo.com,0815115782,Gqeberha,15,2025-09-10
17,nokuthula,Van Der Merwe, nokuthula.van der merwe@outlook.com ,27840103529,POLOKWANE,23,22/06/2023
18,Nomsa,BOTHa,nomsa.botha495gmail.com,+27857415335,Mbombela,,06/01/2024
19,nokuthula,PRETORIUS,nokuthula.pretorius@,,CAPE TOWN,64,2024-08-04
20,lerato,Jacobs, lerato.jacobs@yahoo.com ,0788123602,Johannesburg,11,15/06/2024
21,Bongani,naidoo,bongani.naidoo29outlook.com,0757285274,POLOKWANE,34,"May 02, 2025"
22,kagiso,KHUMALO, kagiso.khumalo@yahoo.com ,+27885521354,east london,12,2025-12-21
23,lerato,Mokoena, lerato.mokoena@gmail.com ,,CAPE TOWN,74,15/11/2023
24,Thabo,NKOSI, thabo.nkosi@gmail.com ,0837967169,Bloemfontein,17,"Mar 29, 2023"
25,zanele,Van Der Merwe,zanele.van der merwe861icloud.com,,east london,11,27/04/2023
26,SIPHO,naidoo,sipho.naidoo@,0682917899,Bloemfontein,,"Jul 22, 2023"
27,SIPHO,pillay, sipho.pillay@yahoo.com ,,POLOKWANE,,2022-06-12
28,PALESA,BOTHa,palesa.botha347@icloud.com,27806343415,Gqeberha,14,2025-04-18
29,REFILWE,naidoo,refilwe.naidoo87@outlook.com,27697469661,durban,16,12/02/2023
30,lerato,mthembu, lerato.mthembu@outlook.com ,0749820432,Mbombela,,"Oct 30, 2025"
31,SIPHO,Van Der Merwe,sipho.vandermerwe623@yahoo.com,,Johannesburg,,2019-01-17
32,Thabo,mthembu,thabo.mthembu961gmail.com,0740603965,Pretoria,14,16/09/2023
33,Sibusiso,mthembu,sibusiso.mthembu278outlook.com,+27609751242,Johannesburg,13,2020-09-10
34,REFILWE,KHUMALO,refilwe.khumalo675@icloud.com,27811036478,Pretoria,32,"Feb 03, 2018"
35,Tshepo,Mokoena, tshepo.mokoena@outlook.com ,+27629199620,Bloemfontein,45,"Jan 25, 2025"
36,Bongani,pillay,bongani.pillay@,,durban,,23/12/2025
37,kagiso,BOTHa,kagiso.botha@,0618493442,POLOKWANE,,2021-09-26
38,Sibusiso,Van Der Merwe,sibusiso.van der merwe255gmail.com,0741824480,Mbombela,,06/10/2025
39,AYANDA,PRETORIUS,ayanda.pretorius87yahoo.com,0775092261,Bloemfontein,64,"Dec 31, 2017"
40,Tshepo,pillay,tshepo.pillay932gmail.com,+27723448484,durban,58,17/10/2021
41,zanele,dlamini,zanele.dlamini642@yahoo.com,,CAPE TOWN,11,2020-02-13
42,PALESA,mabaso, palesa.mabaso@outlook.com ,0742570487,Pretoria,,2021-09-23
43,Sibusiso,PRETORIUS,sibusiso.pretorius@,0706456200,POLOKWANE,14,2019-08-26
44,Thabo,KHUMALO,thabo.khumalo498@outlook.com,27862859682,Gqeberha,,2020-10-14
45,REFILWE,mthembu,refilwe.mthembu320gmail.com,,CAPE TOWN,,2021-09-05
46,REFILWE,naidoo,refilwe.naidoo596@gmail.com,27740557616,durban,56,17/02/2018
47,Nomsa,KHUMALO, nomsa.khumalo@icloud.com ,,east london,14,09/06/2024
48,kagiso,pillay,kagiso.pillay@,27600934896,POLOKWANE,71,"Oct 28, 2023"
49,Thabo,mabaso,thabo.mabaso@,,Mbombela,,20/03/2021
50,Bongani,dlamini,bongani.dlamini@,0627711941,Pretoria,16,2022-06-24
51,nokuthula,BOTHa, nokuthula.botha@gmail.com ,0897508615,CAPE TOWN,,2019-02-14
52,Tshepo,Van Der Merwe, tshepo.van der merwe@gmail.com ,,Mbombela,,"Feb 24, 2023"
53,PALESA,PRETORIUS,palesa.pretorius@,,Gqeberha,60,"Feb 21, 2024"
54,lerato,NKOSI,lerato.nkosi513icloud.com,27843195047,east london,12,2023-11-10
55,SIPHO,Mokoena,sipho.mokoena@,0648905903,POLOKWANE,34,22/05/2021
56,Naledi,mabaso,naledi.mabaso386outlook.com,27867440043,POLOKWANE,26,2022-12-23
57,Naledi,pillay, naledi.pillay@icloud.com ,+27767512320,Mbombela,17,2020-07-10
58,SIPHO,pillay, sipho.pillay@icloud.com ,0658543627,durban,11,"Feb 26, 2018"
59,Bongani,KHUMALO,bongani.khumalo565@gmail.com,+27600733387,Bloemfontein,14,18/11/2018
